,UID,PID,PURCHASE_Time
102,16371,5432,2013-01-24
103,1608,5432,2014-05-30
104,1016,5432,2013-02-18
105,12596,5432,2013-10-12
106,8973,5432,2014-05-19
107,23487,5432,2013-03-19
108,17754,5432,2013-02-16
109,20306,5432,2013-07-6
110,19822,5432,2013-06-25
111,5241,5432,2014-05-30
112,1100,5432,2013-04-10
113,3594,5432,2013-11-15
114,27518,9290,2014-05-13
115,7441,9290,2014-05-10
116,26377,9290,2014-06-23
117,24270,9290,2014-04-4
118,10409,9290,2014-05-8
119,10342,9290,2014-05-1
120,5420,9290,2014-04-18
121,2178,9290,2014-05-8
122,19556,3230,2013-01-22
123,10324,3230,2013-11-25
124,20142,3230,2014-02-7
125,2213,3230,2013-10-16
126,27518,2364,2014-04-23
127,7441,2364,2014-04-21
128,10342,2364,2014-05-1
129,5420,2364,2014-04-18
130,27518,2838,2014-04-24
131,7441,2838,2014-04-21
132,26377,2838,2014-04-13
133,396,2838,2014-05-18
134,10409,2838,2014-04-11
135,10342,2838,2014-05-2
136,5420,2838,2014-04-18
137,2178,2838,2014-04-16
138,7441,3773,2014-06-8
139,24270,3773,2014-06-8
140,10409,3773,2014-06-10
141,10342,3773,2014-06-12
142,5420,3773,2014-06-12
143,21097,8022,2011-10-22
144,22388,8022,2011-10-11
145,15006,8022,2013-09-17
146,8058,8022,2012-01-1
147,5444,8022,2011-10-7
148,18701,8022,2011-08-9
149,15857,8022,2011-10-19
150,27831,8022,2012-01-23
151,1608,8022,2012-12-6
152,18484,8022,2013-01-24
153,4948,8022,2011-07-31
154,20952,8022,2012-06-24
155,26745,8022,2011-12-19
156,27354,8022,2014-01-20
157,7790,8022,2012-02-4
158,10782,8022,2012-11-28
159,6382,8022,2012-07-27
160,2335,4676,2012-12-25
161,9988,4676,2014-01-21
162,13934,4676,2012-01-15
163,26944,4676,2013-08-1
164,21326,4676,2012-11-27
165,14861,5333,2013-01-25
166,20238,5333,2012-01-8
167,25413,5333,2013-01-3
168,15085,5333,2009-08-27
169,8952,5333,2011-12-8
170,23612,1959,2010-02-1
171,23258,1959,2013-10-3
172,8140,1959,2011-01-14
173,12649,1959,2010-01-11
174,16353,1959,2009-12-10
175,26322,1959,2010-01-7
176,15878,5742,2012-01-9
177,8484,5742,2011-11-6
178,25310,5742,2011-08-1
179,17148,5742,2010-08-9
180,10893,10143,2010-08-7
181,16564,10143,2010-11-10
182,1618,10143,2011-03-30
183,20394,10143,2010-12-7
184,2100,10143,2010-11-30
185,2316,10143,2011-07-23
186,20945,7850,2013-07-6
187,19460,7850,2013-04-16
188,9623,7850,2013-08-20
189,7649,7850,2013-09-3
190,8496,7850,2013-12-23
191,23878,7850,2014-01-4
192,12970,7850,2013-06-10
193,9785,7850,2013-11-3
194,16326,7850,2014-07-7
195,18013,7850,2014-07-9
196,163,7850,2013-02-22
197,14553,7850,2013-12-13
198,17682,7850,2014-04-16
199,992,7850,2010-11-19
200,6860,7850,2014-01-17
201,21471,5272,2013-03-15
202,11201,5272,2013-04-12
203,15322,5272,2012-07-20
204,15709,5272,2012-03-8
205,24493,5272,2013-07-26
206,15616,5272,2013-07-21
207,23263,5272,2011-05-19
208,12912,5272,2013-01-22
209,15149,5272,2010-12-29
210,13154,5272,2014-05-12
211,1341,5272,2013-04-15
212,27326,5272,2013-02-23
213,19822,5272,2011-12-8
214,19162,1736,2014-07-14
215,24164,1736,2013-08-15
216,9668,1736,2013-05-11
217,3038,1736,2012-12-13
218,26891,1736,2013-11-13
219,18273,1736,2014-03-14
220,13450,1736,2014-05-23
221,464,1736,2013-04-5
222,21819,1736,2012-12-12
223,1341,1736,2013-12-23
224,16751,1736,2014-04-9
225,7375,1736,2013-01-9
226,1993,1736,2013-05-9
227,7509,1736,2013-02-6
228,9774,1736,2014-01-9
229,14461,1736,2013-10-10
230,23277,1736,2013-08-13
231,21940,4862,2013-04-3
232,19265,4862,2013-10-30
233,24247,4862,2013-05-9
234,17525,4862,2014-01-27
235,8039,4862,2014-05-23
236,19083,4862,2014-01-9
237,23178,10217,2014-07-13
238,11237,10217,2013-12-3
239,26954,10217,2010-03-23
240,19787,10217,2012-03-24
241,27827,10217,2006-03-3
242,11,10217,2011-01-27
243,15805,10217,2012-04-16
244,27604,10217,2014-06-17
245,7780,10215,2006-08-28
246,12777,10215,2004-05-5
247,15025,10215,2008-06-9
248,17836,3664,2011-01-4
249,2452,3664,2013-06-14
250,11056,3664,2013-11-26
251,24151,3664,2014-04-26
252,6954,3664,2013-01-7
253,19578,3664,2013-08-15
254,20094,3664,2012-09-5
255,15605,3664,2014-04-29
256,497,3664,2014-01-4
257,24764,3664,2012-09-29
258,18554,3664,2014-07-9
259,17961,3664,2013-02-14
260,7219,3664,2014-05-14
261,9254,3664,2014-02-25
262,2942,3664,2014-06-8
263,1482,3664,2014-01-2
264,26201,3664,2013-08-27
265,8237,3664,2013-04-8
266,10541,3664,2014-02-28
267,1151,3664,2012-06-18
268,23479,3664,2013-01-3
269,10912,3664,2013-04-17
270,21675,3664,2013-11-15
271,23411,3664,2014-04-20
272,438,3664,2014-03-30
273,10271,3664,2013-01-26
274,6446,3664,2012-06-21
275,8987,3664,2013-11-4
276,19672,3664,2013-12-23
277,4789,3664,2013-12-11
278,11771,3664,2013-11-10
279,21091,3664,2013-08-1
280,9708,3664,2013-03-29
281,15306,3664,2014-07-10
282,5243,3664,2014-03-4
283,2838,3664,2014-06-5
284,24724,3664,2013-11-14
285,13886,3664,2013-12-30
286,9189,3664,2014-03-26
287,4486,3664,2013-04-2
288,18375,3664,2014-02-12
289,17426,3664,2013-04-8
290,15288,3664,2012-12-23
291,15188,3664,2013-02-15
292,17716,3664,2014-06-24
293,968,3664,2013-11-27
294,9812,3664,2013-03-11
295,20783,3664,2014-05-20
296,13930,3664,2014-01-27
297,7870,3664,2014-03-15
298,21341,3664,2014-01-1
299,5045,3664,2014-02-25
300,18448,3664,2014-05-29
301,23299,3664,2014-01-7
302,16177,3664,2014-04-30
303,4671,3664,2013-02-8
304,15867,3664,2013-03-7
305,17459,3664,2014-04-25
306,8087,3664,2013-03-14
307,10662,3664,2013-02-28
308,26160,3664,2013-03-21
309,6755,3664,2013-05-24
310,733,3664,2013-09-15
311,24451,3664,2013-09-20
312,15508,3664,2013-06-15
313,2078,3664,2013-07-18
314,12573,3664,2014-02-16
315,688,3664,2014-06-3
316,6095,3664,2013-02-22
317,27328,3664,2014-02-4
318,19735,3664,2014-06-18
319,21857,3664,2013-03-13
320,379,3664,2012-11-10
321,12605,4151,2011-04-18
322,27315,4151,2013-04-29
323,15496,4151,2009-01-17
324,27620,4151,2008-01-17
325,10101,4151,2010-07-22
326,2025,4151,2013-02-18
327,7074,4151,2013-04-14
328,7601,4151,2013-12-1
329,18166,4151,2009-11-22
330,13017,4151,2011-05-12
331,6728,4151,2013-08-23
332,2896,4151,2011-12-6
333,10153,4151,2014-01-23
334,25537,10112,2002-10-4
335,21603,10112,2004-02-25
336,8723,10112,2005-02-4
337,12001,10112,2008-11-25
338,11822,10112,2007-11-25
339,1211,8654,2014-01-19
340,4622,8654,2012-04-1
341,5364,8654,2011-04-13
342,4861,8654,2008-12-10
343,12100,8654,2011-12-30
344,8511,8654,2006-07-3
345,27706,8654,2009-04-19
346,10900,8654,2012-03-26
347,1366,8654,2012-01-15
348,77,8654,2007-01-18
349,21075,8654,2008-11-11
350,26284,8654,2013-01-24
351,12629,8654,2011-04-5
352,18579,8654,2008-01-1
353,38,8654,2013-12-3
354,4715,8654,2013-07-10
355,13132,8654,2010-09-4
356,7109,8654,2011-12-14
357,17367,8654,2010-11-29
358,21600,2112,2007-04-11
359,27179,2112,2010-10-10
360,17213,2112,2012-07-20
361,18105,2112,2014-05-3
362,15021,2112,2011-05-31
363,457,2112,2013-03-26
364,14853,2112,2013-12-8
365,13844,2112,2011-10-20
366,19244,2112,2013-03-4
367,4381,2112,2010-10-17
368,16889,2112,2013-10-22
369,5628,2112,2013-03-20
370,3475,3577,2004-01-29
371,2822,3577,2004-03-23
372,22109,3577,2004-08-2
373,6699,3577,2004-07-4
374,8084,3577,2004-03-22
375,26316,3236,2014-01-23
376,23880,3236,2012-09-16
377,6286,3236,2011-10-22
378,17513,3236,2013-05-9
379,16780,3236,2010-07-4
380,16818,3236,2013-04-19
381,20684,3236,2013-11-14
382,11322,4261,2014-06-7
383,22832,4261,2013-12-29
384,20375,4261,2011-04-27
385,6896,4261,2008-09-7
386,23996,4261,2012-03-21
387,11632,4261,2013-03-20
388,9234,4261,2009-10-20
389,12816,4261,2014-04-5
390,5761,4261,2012-11-21
391,4415,4261,2013-03-25
392,2713,4261,2013-01-6
393,16629,4261,2011-04-26
394,7430,4261,2009-11-2
395,24647,4261,2011-08-17
396,23740,4261,2008-09-17
397,19108,4261,2010-05-16
398,8956,4261,2014-06-23
399,20194,4261,2012-03-23
400,652,4261,2014-02-16
401,3824,4261,2012-08-3
402,22312,4261,2011-07-6
403,14982,4261,2011-04-27
404,3199,4261,2012-12-3
405,17995,4261,2013-12-26
406,16596,4261,2014-06-13
407,25694,8956,2012-04-22
408,17755,8956,2012-01-2
409,23722,8956,2013-11-16
410,14613,8956,2012-11-21
411,646,8956,2007-11-21
412,109,8956,2013-12-31
413,21397,8956,2013-03-26
414,8256,2937,2013-02-2
415,3768,2937,2013-05-2
416,10743,2937,2014-01-8
417,5342,2937,2012-06-9
418,9080,2937,2011-11-5
419,563,2937,2013-03-18
420,19389,8412,2004-02-19
421,22267,8412,2004-07-24
422,706,8624,2004-08-12
423,21603,8624,2004-01-22
424,13164,8624,2005-04-15
425,14070,8624,2003-12-22
426,12278,1593,2004-12-18
427,11122,1593,2004-09-2
428,16837,1593,2004-09-15
429,27492,1593,2004-09-8
430,21603,1593,2004-02-18
431,25883,3004,2014-03-13
432,14743,3004,2013-12-7
433,21573,3004,2013-08-24
434,27067,3004,2012-12-18
435,8364,3004,2012-10-23
436,4770,3004,2013-07-31
437,18621,7771,2013-10-27
438,13012,7771,2013-11-18
439,27600,7771,2013-09-28
440,10966,7771,2011-09-1
441,8286,8955,2010-11-25
442,17181,8955,2007-11-27
443,21427,8955,2010-03-8
444,8021,8955,2008-05-6
445,9406,8955,2011-05-29
446,22348,1631,2013-03-15
447,17174,1631,2010-02-23
448,101,1631,2011-02-27
449,14390,1631,2009-08-9
450,4436,1631,2012-06-18
451,2470,1631,2009-03-11
452,7517,1631,2009-07-23
453,10344,1631,2010-09-17
454,19125,1631,2009-06-7
455,26366,1631,2012-11-21
456,12192,1631,2009-09-5
457,5342,1631,2010-10-15
458,8939,1631,2011-06-26
459,11792,1631,2013-07-25
460,12048,1631,2014-02-15
461,5631,1631,2012-04-29
462,14075,1631,2013-05-7
463,24627,1631,2010-12-2
464,13063,1631,2010-09-27
465,10546,1631,2013-02-28
466,14119,1631,2007-12-4
467,24287,1631,2013-12-9
468,1130,1631,2012-11-16
469,15436,1631,2008-01-11
470,284,1631,2009-02-6
471,3236,1631,2008-07-1
472,15201,1137,2005-01-30
473,19828,1137,2005-03-9
474,27212,1137,2005-05-17
475,20338,1137,2005-03-19
476,26722,1137,2004-11-9
477,10340,1137,2004-06-18
478,3998,5724,2011-08-1
479,8723,5724,2005-02-4
480,13242,5724,2012-12-15
481,7925,5724,2008-09-16
482,16041,5724,2013-08-27
483,2422,3858,2005-02-1
484,23637,3858,2004-08-16
485,20418,3858,2004-12-7
486,10345,3858,2006-03-12
487,1136,3858,2004-08-24
488,23729,3858,2006-04-1
489,21291,3858,2005-03-5
490,11967,6174,2012-03-23
491,27053,6174,2008-01-8
492,25947,6174,2009-10-15
493,10918,3883,2009-08-7
494,5713,3883,2013-11-17
495,23315,3883,2013-09-9
496,21954,3883,2012-12-28
497,9719,3883,2013-10-6
498,668,3883,2013-06-11
499,6967,3883,2013-07-6
500,9677,179,2013-02-12
501,13057,179,2005-09-12
502,21600,179,2005-10-12
503,18693,179,2005-01-11
504,4472,179,2005-07-7
505,1136,179,2004-08-24
506,23631,920,2007-08-5
507,5015,920,2008-11-23
508,7870,920,2012-11-26
509,12720,920,2008-11-24
510,5789,4435,2014-06-1
511,7576,4435,2014-07-7
512,24441,4435,2014-01-18
513,2895,4435,2011-07-12
514,14073,4435,2012-06-27
515,22153,4435,2013-02-9
516,17783,4435,2010-12-16
517,19660,4435,2014-01-15
518,26571,4435,2013-02-22
519,22427,4435,2012-11-4
520,7424,4435,2013-11-4
521,21195,4435,2013-12-2
522,21036,4435,2014-03-19
523,26236,4435,2012-07-26
524,15174,7871,2012-03-4
525,27321,7871,2013-10-11
526,20380,7871,2010-06-29
527,6742,7871,2013-05-3
528,22848,7871,2010-12-2
529,11703,7871,2011-04-6
530,27001,7871,2008-08-7
531,19183,7871,2007-12-28
532,14033,7871,2006-03-2
533,22232,7871,2008-12-28
534,5145,7871,2007-05-11
535,10991,7871,2008-03-2
536,9507,7871,2008-02-17
537,18693,7871,2005-07-28
538,26636,7871,2011-04-11
539,15141,7871,2006-10-18
540,17785,7871,2007-12-4
541,19242,7871,2008-01-31
542,15216,7871,2008-08-3
543,15671,7871,2008-01-7
544,27697,7871,2006-02-21
545,26736,7871,2008-01-23
546,15861,1433,2014-06-20
547,11125,1433,2014-02-13
548,26707,1433,2014-06-24
549,18021,1433,2014-04-18
550,8533,1433,2014-04-9
551,11135,1433,2014-06-21
552,1409,1433,2014-01-14
553,14255,1433,2014-05-22
554,19827,1433,2014-04-22
555,26792,1433,2014-03-8
556,11687,1433,2014-05-19
557,18952,1433,2014-06-26
558,24851,1433,2014-06-1
559,6001,891,2006-08-9
560,12058,891,2012-01-8
561,6374,891,2007-01-25
562,12952,891,2006-11-3
563,7782,891,2006-06-25
564,12753,891,2006-07-18
565,21581,891,2006-07-9
566,9035,891,2006-01-13
567,16939,891,2006-08-29
568,4086,891,2006-07-25
569,13577,891,2006-06-2
570,2230,855,2006-03-2
571,11256,855,2007-05-10
572,15328,855,2005-10-24
573,21043,855,2013-08-13
574,6391,855,2005-02-6
575,2430,855,2006-10-8
576,6371,855,2005-02-16
577,12334,855,2007-09-28
578,10932,855,2006-02-23
579,22890,855,2006-04-17
580,27434,855,2005-01-25
581,5587,855,2007-01-13
582,2674,855,2005-04-13
583,18693,855,2006-03-16
584,16939,855,2007-08-23
585,16880,855,2006-05-24
586,10391,855,2006-03-25
587,15436,855,2006-01-27
588,13577,855,2005-02-19
589,7032,8974,2014-01-24
590,14548,8974,2012-12-9
591,19559,8974,2013-05-28
592,7448,8974,2012-12-31
593,21849,8974,2013-08-25
594,15880,8974,2012-06-1
595,18556,8974,2014-02-11
596,5379,8974,2014-03-18
597,1964,8974,2010-11-2
598,12433,8997,2005-01-15
599,19490,8997,2005-01-30
600,23698,8997,2005-11-17
601,4054,8997,2013-10-3
602,31,8997,2005-02-17
603,13577,8997,2005-02-13
604,23178,484,2014-07-13
605,7081,484,2014-02-6
606,18102,484,2013-05-8
607,16889,484,2013-10-22
608,11391,484,2012-12-7
609,20508,484,2011-10-27
610,20022,484,2012-06-5
611,21603,1618,2004-10-6
612,11994,1618,2005-03-17
613,6069,1618,2005-01-16
614,19242,1618,2004-12-13
615,3582,2158,2014-02-6
616,17809,2158,2013-08-22
617,4468,2158,2013-12-2
618,25452,2158,2013-05-30
619,8029,5160,2005-12-28
620,24041,5160,2011-03-21
621,15258,5160,2005-03-12
622,15317,5160,2006-02-25
623,17371,5160,2004-11-13
624,11421,5125,2005-12-18
625,1004,5125,2005-10-24
626,21384,5125,2005-12-19
627,6371,5125,2005-04-12
628,18021,5125,2005-08-10
629,3787,5125,2006-03-16
630,496,5125,2005-05-23
631,16831,5125,2006-12-15
632,26775,5125,2005-01-17
633,24507,5125,2005-02-22
634,26383,5125,2006-01-18
635,10480,5125,2006-10-24
636,5422,5125,2006-11-14
637,3810,5125,2004-12-28
638,20503,5125,2005-03-15
639,18940,5125,2006-02-10
640,833,5125,2006-06-4
641,26515,6459,2010-04-27
642,22958,6459,2011-02-24
643,2558,6459,2006-07-27
644,27559,6459,2013-10-24
645,10445,6459,2014-02-8
646,2955,6459,2013-03-25
647,7943,6459,2013-10-16
648,6059,6459,2013-02-10
649,23722,6459,2013-11-16
650,16520,6459,2013-10-3
651,11502,6459,2013-12-22
652,232,8553,2014-07-12
653,17531,8553,2014-05-16
654,21859,8553,2013-12-31
655,24146,8553,2012-04-3
656,19117,8553,2013-10-29
657,13693,5785,2012-05-24
658,14959,5785,2006-03-15
659,3464,5785,2011-06-13
660,20450,4283,2004-11-26
661,12468,4283,2006-04-20
662,27508,4283,2007-05-10
663,9466,4283,2005-02-9
664,18693,4283,2005-01-11
665,14218,6058,2005-05-10
666,16735,6058,2005-07-19
667,12518,6058,2005-04-8
668,17612,6058,2006-07-23
669,3660,6058,2007-08-30
670,18693,6058,2005-01-10
671,9349,6058,2006-04-15
672,15436,6058,2006-02-23
673,11967,10325,2006-05-24
674,6391,10325,2005-02-1
675,222,10325,2007-09-18
676,22221,10325,2009-01-20
677,9088,10325,2006-12-8
678,2616,6912,2014-07-14
679,5343,6912,2012-01-30
680,20904,6912,2008-05-1
681,15938,6912,2010-08-18
682,5419,6912,2013-07-6
683,26804,6912,2008-11-19
684,23638,6912,2014-03-7
685,18490,6912,2013-03-14
686,9425,6912,2013-11-13
687,5114,4488,2013-01-14
688,21828,4488,2014-03-13
689,372,4488,2005-11-10
690,13295,4488,2013-12-2
691,3172,4488,2007-01-5
692,11368,4488,2007-03-15
693,11130,4488,2007-05-12
694,25204,4488,2005-11-27
695,18579,4488,2009-04-5
696,27044,4488,2008-07-14
697,25500,4488,2007-02-6
698,11107,4488,2014-05-21
699,8024,4488,2007-08-14
700,26736,4488,2009-04-22
701,11122,4393,2005-10-15
702,935,4393,2005-08-27
703,3203,4393,2005-04-12
704,1724,4393,2004-12-30
705,13794,4393,2005-02-16
706,14332,4393,2005-04-16
707,9035,4393,2006-01-12
708,4472,4393,2005-04-10
709,7404,4393,2005-10-9
710,23940,4393,2005-10-7
711,27697,4393,2006-10-30
712,372,10355,2005-09-13
713,20207,10355,2005-09-5
714,10978,10355,2005-04-26
715,6952,10355,2005-06-20
716,25935,10355,2005-05-27
717,19790,7322,2013-01-8
718,15601,7322,2013-11-9
719,12139,7322,2006-08-29
720,26174,7322,2012-12-18
721,22312,7322,2011-07-6
722,4692,7322,2007-04-25
723,11816,3893,2011-02-25
724,4119,3893,2010-01-20
725,2785,3893,2011-12-14
726,14495,3893,2009-02-14
727,24692,7288,2014-04-6
728,26945,7288,2012-05-25
729,21612,7288,2011-04-9
730,12590,7288,2011-11-26
731,4207,7288,2007-04-20
732,6218,7288,2008-04-25
733,24787,7288,2006-05-31
734,10026,7288,2007-08-31
735,25308,7288,2007-07-26
736,21710,7288,2009-08-23
737,23637,7288,2007-04-29
738,9747,7288,2008-05-19
739,24751,7288,2007-01-3
740,23102,7288,2013-01-23
741,19719,7288,2007-08-11
742,17449,2477,2005-11-21
743,13277,2477,2005-10-29
744,19387,2477,2006-06-10
745,18940,2477,2005-09-17
746,5978,1440,2014-03-17
747,23079,1440,2013-07-13
748,15535,1440,2013-03-30
749,10066,1440,2013-06-16
750,8333,1440,2014-01-27
751,6740,1440,2013-09-18
752,27653,1440,2014-01-17
753,10518,1440,2014-03-18
754,2899,1440,2013-08-14
755,10808,1440,2013-10-14
756,23723,1440,2013-07-9
757,27138,1440,2013-09-4
758,23027,1440,2014-05-4
759,15253,1440,2013-12-13
760,18531,1440,2013-02-7
761,16111,3855,2013-01-2
762,18688,3855,2013-03-16
763,5978,3855,2014-03-17
764,13045,3855,2013-05-18
765,11726,3855,2013-07-19
766,27780,3855,2013-09-27
767,9943,3855,2014-02-15
768,9836,3855,2013-11-6
769,22066,3855,2013-05-21
770,916,3855,2013-06-17
771,27509,3855,2013-06-19
772,12589,3855,2012-12-11
773,24618,3855,2012-12-13
774,12319,3855,2013-06-5
775,7910,3855,2013-04-19
776,4527,3855,2013-09-4
777,5682,3855,2013-02-27
778,21236,3855,2013-07-13
779,27265,3855,2013-03-14
780,19007,3855,2013-02-5
781,6154,3855,2013-05-31
782,13582,3855,2013-01-20
783,22682,3855,2013-01-6
784,7844,3855,2013-12-14
785,27842,4864,2013-06-18
786,11747,4864,2014-05-4
787,10799,4864,2013-01-22
788,21780,4864,2013-01-22
789,25678,4864,2013-03-14
790,2131,8060,2007-01-9
791,8650,8060,2007-06-20
792,1004,8060,2006-08-24
793,4139,8060,2013-02-6
794,23341,8060,2009-04-14
795,21600,8060,2007-05-22
796,25300,8060,2010-09-22
797,3772,8060,2007-04-7
798,25695,8060,2006-07-9
799,4584,8060,2008-07-15
800,8863,8060,2008-01-30
801,12946,8060,2013-03-1
802,25142,8060,2011-01-29
803,25947,8060,2009-09-26
804,976,8060,2007-05-12
805,18776,8060,2008-02-8
806,18389,8060,2013-10-9
807,3931,8274,2007-02-28
808,1178,8274,2006-08-8
809,22312,8274,2011-07-11
810,8635,8274,2011-06-8
811,4840,9769,2014-03-20
812,9131,9769,2013-10-26
813,27199,9769,2014-01-20
814,7930,9769,2014-03-3
815,13301,9769,2014-02-3
816,13059,9769,2013-03-22
817,12401,9769,2013-05-30
818,22902,9769,2014-01-22
819,6901,9769,2013-05-3
820,12334,9769,2013-09-23
821,7510,9769,2014-06-11
822,22962,9769,2013-02-8
823,23093,9769,2013-12-4
824,20376,9769,2013-06-12
825,5002,9769,2013-06-5
826,16011,9769,2013-04-26
827,25363,9769,2013-10-27
828,24814,9769,2014-04-6
829,16910,9769,2013-08-17
830,12755,9769,2013-07-15
831,15841,9769,2012-10-7
832,23511,9769,2013-10-24
833,3987,9769,2013-07-10
834,13585,9769,2013-10-14
835,3126,9769,2013-11-8
836,22413,9769,2013-06-17
837,2742,9769,2014-07-5
838,26104,9769,2014-05-21
839,10226,3317,2014-03-11
840,12077,3317,2014-02-16
841,22665,3317,2013-12-23
842,1015,3317,2013-05-6
843,4070,3317,2013-02-22
844,25784,3317,2013-11-1
845,20982,3317,2013-05-12
846,24679,3317,2013-06-18
847,10165,3317,2013-05-14
848,10175,3317,2014-06-16
849,10831,3317,2013-10-12
850,25179,3317,2014-04-29
851,19849,8416,2007-10-3
852,11788,8416,2006-08-16
853,5062,8416,2007-08-8
854,11226,8416,2005-10-30
855,21482,8416,2007-08-10
856,25795,8416,2005-09-10
857,21445,8416,2006-02-13
858,22294,8416,2006-09-18
859,5724,8416,2007-02-15
860,15787,8416,2005-08-2
861,9088,8416,2006-12-11
862,26889,8416,2005-10-15
863,18940,8416,2006-02-10
864,25259,838,2008-11-4
865,3772,838,2007-04-7
866,6128,838,2007-03-30
867,15378,838,2012-07-16
868,19006,838,2005-11-9
869,1152,6088,2008-10-12
870,510,6088,2006-11-20
871,19379,6088,2008-10-8
872,19849,6088,2007-10-3
873,8667,6088,2005-12-20
874,26053,6088,2006-04-29
875,16970,6088,2008-06-17
876,9543,6088,2007-03-22
877,14733,6088,2005-06-5
878,10917,6088,2005-08-18
879,6387,6088,2009-01-8
880,9551,6088,2007-04-14
881,13343,6088,2006-02-24
882,135,6088,2007-07-11
883,25466,6088,2007-03-22
884,7686,6088,2007-06-14
885,21408,6088,2008-07-12
886,9035,6088,2006-01-12
887,21462,6088,2006-02-24
888,10426,6088,2006-01-19
889,108,6088,2005-11-30
890,15787,6088,2005-08-4
891,18917,6088,2006-01-23
892,10802,6088,2013-01-6
893,2860,6088,2007-03-4
894,25311,6088,2008-03-9
895,3449,6088,2006-07-6
896,7925,6088,2007-10-12
897,3928,6088,2006-05-4
898,130,6088,2007-05-29
899,13354,6088,2006-12-13
900,10298,6088,2007-06-10
901,2677,6088,2008-07-1
902,26889,6088,2005-10-15
903,21510,6088,2012-10-19
904,14626,6088,2008-03-3
905,18006,6088,2007-06-22
906,21710,3135,2006-03-31
907,13669,3135,2009-09-23
908,18614,3135,2007-01-3
909,15436,3135,2006-02-7
910,833,3135,2006-06-4
911,19152,2140,2006-07-10
912,14332,2140,2005-04-25
913,3449,2140,2005-09-20
914,19490,3902,2005-06-13
915,19828,3902,2005-08-18
916,4054,3902,2013-10-3
917,23501,3902,2005-10-17
918,16025,3902,2012-12-28
919,18917,3902,2005-05-24
920,21557,3902,2005-09-29
921,6787,3902,2005-10-17
922,24727,2454,2006-01-27
923,22901,2454,2006-09-8
924,20353,2454,2007-03-6
925,23637,2454,2007-01-1
926,18693,2454,2005-09-25
927,4344,6408,2008-06-10
928,11295,6408,2011-12-5
929,8214,6408,2009-09-30
930,12720,6408,2009-04-13
931,11193,2505,2011-08-7
932,6928,2505,2006-11-5
933,22891,2505,2007-12-17
934,12299,2505,2007-02-16
935,16425,2505,2008-02-19
936,19314,2505,2010-10-8
